Order_ID,Customer_ID,Customer_Age,Category,Product_Name,Unit_Price,Quantity,Region,Payment_Method,Sales_Channel,Customer_Rating,Marketing_Spend,Order_Date,Total_Amount,Profit_Margin,Profit,Order_Year,Order_Month,Order_Quarter,Day_Of_Week,Age_Group
ORD-1227,CUST-176,44,Beauty & Care,Lipstick Matte,68.91,1,South,Credit Card,Website,3.1,70.4,2023-01-01,68.91,0.42,28.94,2023,2023-01,2023Q1,Sunday,Middle-Aged (35-49)
ORD-1854,CUST-334,65,Home & Kitchen,Blender 500W,193.11,2,North,Bank Transfer,Website,3.6,145.91,2023-01-01,386.22,0.28,108.14,2023,2023-01,2023Q1,Sunday,Seniors (50+)
ORD-1681,CUST-264,63,Fashion,Women Dress,20.77,3,North,Bank Transfer,Store Affiliate,3.2,149.71,2023-01-01,62.31,0.35,21.81,2023,2023-01,2023Q1,Sunday,Seniors (50+)
ORD-1621,CUST-139,29,Books,Atomic Habits,26.59,4,Central,COD (Cash on Delivery),Store Affiliate,4.9,112.29,2023-01-02,106.36,0.25,26.59,2023,2023-01,2023Q1,Monday,Young Adults (25-34)
ORD-1203,CUST-168,60,Electronics,Smartphone X,1070.37,2,North,COD (Cash on Delivery),Mobile App,3.9,85.27,2023-01-03,2140.74,0.18,385.33,2023,2023-01,2023Q1,Tuesday,Seniors (50+)
ORD-1256,CUST-114,44,Sports & Outdoors,Water Bottle,62.0,5,North,Bank Transfer,Social Media,4.0,138.29,2023-01-04,310.0,0.3,93.0,2023,2023-01,2023Q1,Wednesday,Middle-Aged (35-49)
ORD-1492,CUST-339,28,Electronics,Bluetooth Speaker,163.61,5,North,COD (Cash on Delivery),Social Media,3.8,101.85,2023-01-04,818.05,0.18,147.25,2023,2023-01,2023Q1,Wednesday,Young Adults (25-34)
ORD-1585,CUST-331,59,Home & Kitchen,Coffee Maker,244.77,2,South,Bank Transfer,Website,4.7,139.79,2023-01-04,489.54,0.28,137.07,2023,2023-01,2023Q1,Wednesday,Seniors (50+)
ORD-1795,CUST-172,31,Home & Kitchen,Air Fryer,38.62,5,Central,COD (Cash on Delivery),Website,3.5,78.58,2023-01-06,193.1,0.28,54.07,2023,2023-01,2023Q1,Friday,Young Adults (25-34)
ORD-2132,CUST-219,51,Books,Atomic Habits,30.54,5,South,Credit Card,Social Media,3.1,116.65,2023-01-06,152.7,0.25,38.17,2023,2023-01,2023Q1,Friday,Seniors (50+)
ORD-1845,CUST-145,37,Sports & Outdoors,Bicycle Helmet,90.26,1,Central,Bank Transfer,Store Affiliate,3.9,90.64,2023-01-06,90.26,0.3,27.08,2023,2023-01,2023Q1,Friday,Middle-Aged (35-49)
ORD-1143,CUST-283,59,Books,Atomic Habits,21.07,1,Central,Bank Transfer,Website,4.8,75.9,2023-01-07,21.07,0.25,5.27,2023,2023-01,2023Q1,Saturday,Seniors (50+)
ORD-2131,CUST-223,63,Electronics,Smart Watch,531.32,1,South,COD (Cash on Delivery),Website,3.5,144.43,2023-01-07,531.32,0.18,95.64,2023,2023-01,2023Q1,Saturday,Seniors (50+)
ORD-1098,CUST-141,37,Books,Atomic Habits,17.78,4,South,E-Wallet,Mobile App,4.6,95.45,2023-01-07,71.12,0.25,17.78,2023,2023-01,2023Q1,Saturday,Middle-Aged (35-49)
ORD-1666,CUST-323,49,Electronics,Smartphone X,497.39,2,International,E-Wallet,Website,3.3,127.58,2023-01-08,994.78,0.18,179.06,2023,2023-01,2023Q1,Sunday,Middle-Aged (35-49)
ORD-1739,CUST-269,45,Sports & Outdoors,Dumbbell Set,52.35,5,North,Credit Card,Store Affiliate,4.4,82.29,2023-01-08,261.75,0.3,78.52,2023,2023-01,2023Q1,Sunday,Middle-Aged (35-49)
ORD-2138,CUST-182,46,Home & Kitchen,Coffee Maker,175.64,4,North,Credit Card,Website,4.7,74.95,2023-01-08,702.56,0.28,196.72,2023,2023-01,2023Q1,Sunday,Middle-Aged (35-49)
ORD-1124,CUST-275,20,Books,Psychology Of Money,39.79,2,North,Credit Card,Social Media,4.8,110.56,2023-01-08,79.58,0.25,19.9,2023,2023-01,2023Q1,Sunday,Gen Z (<25)
ORD-1604,CUST-110,54,Sports & Outdoors,Water Bottle,109.16,1,South,COD (Cash on Delivery),Mobile App,4.7,59.06,2023-01-09,109.16,0.3,32.75,2023,2023-01,2023Q1,Monday,Seniors (50+)
ORD-1443,CUST-318,43,Electronics,Smart Watch,1180.4,1,North,Bank Transfer,Store Affiliate,3.1,37.78,2023-01-09,1180.4,0.18,212.47,2023,2023-01,2023Q1,Monday,Middle-Aged (35-49)
ORD-1584,CUST-276,52,Books,Data Science Handbook,34.6,5,North,E-Wallet,Social Media,3.9,141.07,2023-01-09,173.0,0.25,43.25,2023,2023-01,2023Q1,Monday,Seniors (50+)
ORD-1811,CUST-137,57,Home & Kitchen,Air Fryer,67.52,5,Central,COD (Cash on Delivery),Social Media,4.9,39.04,2023-01-09,337.6,0.28,94.53,2023,2023-01,2023Q1,Monday,Seniors (50+)
ORD-1495,CUST-217,36,Fashion,Men T-Shirt,144.95,2,North,Bank Transfer,Social Media,3.6,23.03,2023-01-10,289.9,0.35,101.46,2023,2023-01,2023Q1,Tuesday,Middle-Aged (35-49)
ORD-1333,CUST-339,24,Fashion,Men T-Shirt,159.11,1,Central,COD (Cash on Delivery),Mobile App,4.2,80.99,2023-01-10,159.11,0.35,55.69,2023,2023-01,2023Q1,Tuesday,Gen Z (<25)
ORD-1488,CUST-217,41,Sports & Outdoors,Water Bottle,144.59,1,North,COD (Cash on Delivery),Social Media,3.3,13.28,2023-01-11,144.59,0.3,43.38,2023,2023-01,2023Q1,Wednesday,Middle-Aged (35-49)
ORD-2134,CUST-311,36,Electronics,Smartphone X,584.69,1,Central,Credit Card,Website,4.0,84.99,2023-01-11,584.69,0.18,105.24,2023,2023-01,2023Q1,Wednesday,Middle-Aged (35-49)
ORD-1430,CUST-114,42,Beauty & Care,Lipstick Matte,67.5,4,North,Credit Card,Store Affiliate,3.2,56.16,2023-01-12,270.0,0.42,113.4,2023,2023-01,2023Q1,Thursday,Middle-Aged (35-49)
ORD-1408,CUST-100,34,Home & Kitchen,Coffee Maker,214.54,3,South,COD (Cash on Delivery),Mobile App,4.8,134.57,2023-01-12,643.62,0.28,180.21,2023,2023-01,2023Q1,Thursday,Young Adults (25-34)
ORD-2197,CUST-277,25,Home & Kitchen,Robot Vacuum,124.7,1,North,Bank Transfer,Website,4.1,10.96,2023-01-12,124.7,0.28,34.92,2023,2023-01,2023Q1,Thursday,Young Adults (25-34)
ORD-1304,CUST-116,52,Electronics,Laptop Pro,268.58,2,South,COD (Cash on Delivery),Social Media,4.8,136.36,2023-01-12,537.16,0.18,96.69,2023,2023-01,2023Q1,Thursday,Seniors (50+)
ORD-1011,CUST-289,40,Sports & Outdoors,Dumbbell Set,56.19,4,North,E-Wallet,Website,4.8,39.51,2023-01-13,224.76,0.3,67.43,2023,2023-01,2023Q1,Friday,Middle-Aged (35-49)
ORD-2013,CUST-120,58,Fashion,Leather Jacket,37.07,4,North,Credit Card,Website,3.1,125.58,2023-01-13,148.28,0.35,51.9,2023,2023-01,2023Q1,Friday,Seniors (50+)
