Order_ID,Customer_ID,Customer_Age,Category,Product_Name,Unit_Price,Quantity,Region,Payment_Method,Sales_Channel,Customer_Rating,Marketing_Spend,Order_Date
ORD-1735,CUST-335,25.0,Beauty & Care,Moisturizer Cream,$87.58,5,Central,Bank Transfer,Store Affiliate,3.7,109.3,"Nov 20, 2023"
ORD-1442,CUST-335,60.0,Electronics,Smartphone X, 855.99 ,3,Central,COD (Cash on Delivery),Social Media,3.0,60.69,2023-07-11
ORD-2117,CUST-281,50.0,Home & Kitchen,Air Fryer,104.23,4,,E-Wallet,Website,3.5,89.9,2023/03/21
ORD-1333,CUST-339,24.0,Fashion,Men T-Shirt,159.11,1,Central,COD (Cash on Delivery),Mobile App,4.2,80.99,2023-01-10
ORD-1327,CUST-271,26.0,Beauty & Care,Perfume 50ml,89.08,3,Central,E-Wallet,Store Affiliate,4.9,26.3,2023/07/29
ORD-1855,CUST-317,,Fashion,Men T-Shirt,141.85 USD,3,International,E-Wallet,Mobile App,4.1,132.84,2023-02-08
ORD-2026,CUST-266,56.0,Beauty & Care,Lipstick Matte, 80.16 ,2,South,COD (Cash on Delivery),Social Media,3.3,21.03,"May 08, 2023"
ORD-1081,CUST-117,37.0,Fashion,Running Shoes,163.95,2,International,COD (Cash on Delivery),Website,3.2,123.44,05-31-2023
ORD-1043,CUST-208,0.0,Books,Data Science Handbook,$36.87,2,South,Bank Transfer,Store Affiliate,3.6,137.04,2023-11-25
ORD-1945,CUST-176,27.0,Fashion,Women Dress, 102.84 ,5,South,Credit Card,Website,4.7,106.05,2023/11/23
ORD-1937,CUST-325,61.0,Beauty & Care,Perfume 50ml, 32.94 ,3,South,COD (Cash on Delivery),Social Media,3.2,14.88,05/07/2023
ORD-1477,CUST-152,64.0,Beauty & Care,Moisturizer Cream,70.46 USD,1,South,Credit Card,Social Media,3.5,12.06,30/11/2023
ORD-2035,CUST-259,59.0,Beauty & Care,Lipstick Matte,50.87,3,South,Bank Transfer,Website,4.5,127.16,24/03/2023
ORD-1969,CUST-271,56.0,,Lipstick Matte,58.12,1,International,Bank Transfer,Store Affiliate,3.0,119.97,"Feb 23, 2023"
ORD-1493,CUST-118,34.0,Sports & Outdoors,Bicycle Helmet,56.42,1,International,COD (Cash on Delivery),Store Affiliate,4.2,76.0,2023/11/16
ORD-1210,CUST-140,36.0,Sports & Outdoors,Camping Tent,27.47,1,Central,E-Wallet,Mobile App,4.5,53.94,2023/10/29
ORD-2046,CUST-279,59.0,Books,Atomic Habits,$17.38,4,Central,Bank Transfer,Store Affiliate,3.9,76.21,2023-06-20
ORD-1297,CUST-212,27.0,Fashion,Running Shoes,77.38 USD,5,North,Credit Card,Store Affiliate,3.7,139.43,22/03/2023
ORD-1247,CUST-104,58.0,Sports & Outdoors,Camping Tent,$108.63,5,International,Credit Card,Website,4.3,72.85,2023-12-14
ORD-1952,CUST-207,35.0,Sports & Outdoors,Dumbbell Set,$68.51,2,South,COD (Cash on Delivery),Store Affiliate,3.3,63.76,2023/06/18
ORD-1198,CUST-129,48.0,Electronics,Laptop Pro,$769.18,1,International,Bank Transfer,Store Affiliate,3.6,72.86,2023-06-13
ORD-2052,CUST-255,61.0,Electronics,Wireless Headphones,399.0,5,,Credit Card,Website,3.4,104.0,2023/06/06
ORD-2181,CUST-225,64.0,N/A,Bicycle Helmet,92.46,3,Central,COD (Cash on Delivery),Mobile App,4.2,135.22,2023-12-26
ORD-1462,CUST-245,61.0,Sports & Outdoors,Yoga Mat,$43.17,1,South,Bank Transfer,Social Media,3.3,42.2,23/03/2023
ORD-1001,CUST-128,55.0,Electronics,Smart Watch,$999.99,2,North,E-Wallet,Store Affiliate,4.8,17.56,08-29-2023
